Region,Electrode,Elec_Number,X,Y
A,129,11938,1015.0,945.0
A,130,11939,1032.5,945.0
A,131,11940,1050.0,945.0
A,132,11941,1067.5,945.0
A,133,11942,1085.0,945.0
A,134,11943,1102.5,945.0
A,135,11944,1120.0,945.0
A,136,11945,1137.5,945.0
A,137,11946,1155.0,945.0
A,138,12144,770.0,962.5
A,139,12145,787.5,962.5
A,140,12146,805.0,962.5
A,141,12147,822.5,962.5
A,142,12148,840.0,962.5
A,143,12149,857.5,962.5
A,144,12150,875.0,962.5
A,145,12151,892.5,962.5
A,146,12152,910.0,962.5
A,147,12153,927.5,962.5
A,148,12154,945.0,962.5
A,149,12155,962.5,962.5
A,150,12156,980.0,962.5
A,151,12157,997.5,962.5
A,152,12158,1015.0,962.5
A,153,12159,1032.5,962.5
A,154,12160,1050.0,962.5
A,155,12161,1067.5,962.5
A,156,12162,1085.0,962.5
A,157,12163,1102.5,962.5
A,158,12164,1120.0,962.5
A,159,12165,1137.5,962.5
A,160,12166,1155.0,962.5
A,161,12364,770.0,980.0
A,162,12365,787.5,980.0
A,163,12366,805.0,980.0
A,164,12367,822.5,980.0
A,165,12368,840.0,980.0
A,166,12369,857.5,980.0
A,167,12370,875.0,980.0
A,168,12371,892.5,980.0
A,169,12372,910.0,980.0
A,170,12373,927.5,980.0
A,171,12374,945.0,980.0
A,172,12375,962.5,980.0
A,173,12376,980.0,980.0
A,174,12377,997.5,980.0
A,175,12378,1015.0,980.0
A,176,12379,1032.5,980.0
A,177,12380,1050.0,980.0
A,178,12381,1067.5,980.0
A,179,12382,1085.0,980.0
A,180,12383,1102.5,980.0
A,181,12384,1120.0,980.0
A,182,12385,1137.5,980.0
A,183,12386,1155.0,980.0
A,184,12584,770.0,997.5
A,185,12585,787.5,997.5
A,186,12586,805.0,997.5
A,187,12587,822.5,997.5
A,188,12588,840.0,997.5
A,189,12589,857.5,997.5
A,190,12590,875.0,997.5
A,191,12591,892.5,997.5
A,192,12592,910.0,997.5
A,193,12593,927.5,997.5
A,194,12594,945.0,997.5
A,195,12595,962.5,997.5
A,196,12596,980.0,997.5
A,197,12597,997.5,997.5
A,198,12598,1015.0,997.5
A,199,12599,1032.5,997.5
A,200,12600,1050.0,997.5
A,201,12601,1067.5,997.5
A,202,12602,1085.0,997.5
A,203,12603,1102.5,997.5
A,204,12604,1120.0,997.5
A,205,12605,1137.5,997.5
A,206,12606,1155.0,997.5
A,207,12804,770.0,1015.0
A,208,12805,787.5,1015.0
A,209,12806,805.0,1015.0
A,210,12807,822.5,1015.0
A,211,12808,840.0,1015.0
A,212,12809,857.5,1015.0
A,213,12810,875.0,1015.0
A,214,12811,892.5,1015.0
A,215,12812,910.0,1015.0
A,216,12813,927.5,1015.0
A,217,12814,945.0,1015.0
A,218,12815,962.5,1015.0
A,219,12816,980.0,1015.0
A,220,12817,997.5,1015.0
A,221,12818,1015.0,1015.0
A,222,12819,1032.5,1015.0
A,223,12820,1050.0,1015.0
A,224,12821,1067.5,1015.0
A,225,12822,1085.0,1015.0
A,226,12823,1102.5,1015.0
A,227,12824,1120.0,1015.0
A,228,12825,1137.5,1015.0
A,229,12826,1155.0,1015.0
A,230,13024,770.0,1032.5
A,231,13025,787.5,1032.5
A,232,13026,805.0,1032.5
A,233,13027,822.5,1032.5
A,234,13028,840.0,1032.5
A,235,13029,857.5,1032.5
A,236,13030,875.0,1032.5
A,237,13031,892.5,1032.5
A,238,13032,910.0,1032.5
A,239,13033,927.5,1032.5
A,240,13034,945.0,1032.5
A,241,13035,962.5,1032.5
A,242,13036,980.0,1032.5
A,243,13037,997.5,1032.5
A,244,13038,1015.0,1032.5
A,245,13039,1032.5,1032.5
A,246,13040,1050.0,1032.5
A,247,13041,1067.5,1032.5
A,248,13042,1085.0,1032.5
A,249,13043,1102.5,1032.5
A,250,13044,1120.0,1032.5
A,251,13045,1137.5,1032.5
A,252,13046,1155.0,1032.5
A,253,13244,770.0,1050.0
A,254,13245,787.5,1050.0
A,255,13246,805.0,1050.0
A,256,13247,822.5,1050.0
A,257,13248,840.0,1050.0
A,258,13249,857.5,1050.0
A,259,13250,875.0,1050.0
A,260,13251,892.5,1050.0
A,261,13252,910.0,1050.0
A,262,13253,927.5,1050.0
A,263,13254,945.0,1050.0
A,264,13255,962.5,1050.0
A,265,13256,980.0,1050.0
A,266,13257,997.5,1050.0
A,267,13258,1015.0,1050.0
A,268,13259,1032.5,1050.0
A,269,13260,1050.0,1050.0
A,270,13261,1067.5,1050.0
A,271,13262,1085.0,1050.0
A,272,13263,1102.5,1050.0
A,273,13264,1120.0,1050.0
A,274,13265,1137.5,1050.0
A,275,13266,1155.0,1050.0
A,276,13464,770.0,1067.5
A,277,13465,787.5,1067.5
A,278,13466,805.0,1067.5
A,279,13467,822.5,1067.5
A,280,13468,840.0,1067.5
A,281,13469,857.5,1067.5
A,282,13470,875.0,1067.5
A,283,13471,892.5,1067.5
A,284,13472,910.0,1067.5
A,285,13473,927.5,1067.5
A,286,13474,945.0,1067.5
A,287,13475,962.5,1067.5
A,288,13476,980.0,1067.5
A,289,13477,997.5,1067.5
A,290,13478,1015.0,1067.5
A,291,13479,1032.5,1067.5
A,292,13480,1050.0,1067.5
A,293,13481,1067.5,1067.5
A,294,13482,1085.0,1067.5
A,295,13483,1102.5,1067.5
A,296,13484,1120.0,1067.5
A,297,13485,1137.5,1067.5
A,298,13486,1155.0,1067.5
A,299,13684,770.0,1085.0
A,300,13685,787.5,1085.0
A,301,13686,805.0,1085.0
A,302,13687,822.5,1085.0
A,303,13688,840.0,1085.0
A,304,13689,857.5,1085.0
A,305,13690,875.0,1085.0
A,306,13691,892.5,1085.0
A,307,13692,910.0,1085.0
A,308,13693,927.5,1085.0
A,309,13694,945.0,1085.0
A,310,13695,962.5,1085.0
A,311,13696,980.0,1085.0
A,312,13697,997.5,1085.0
A,313,13698,1015.0,1085.0
A,314,13699,1032.5,1085.0
A,315,13700,1050.0,1085.0
A,316,13701,1067.5,1085.0
A,317,13702,1085.0,1085.0
A,318,13703,1102.5,1085.0
A,319,13704,1120.0,1085.0
A,320,13705,1137.5,1085.0
A,321,13706,1155.0,1085.0
A,322,13904,770.0,1102.5
A,323,13905,787.5,1102.5
A,324,13906,805.0,1102.5
A,325,13907,822.5,1102.5
A,326,13908,840.0,1102.5
A,327,13909,857.5,1102.5
A,328,13910,875.0,1102.5
A,329,13911,892.5,1102.5
A,330,13912,910.0,1102.5
A,331,13913,927.5,1102.5
A,332,13914,945.0,1102.5
A,333,13915,962.5,1102.5
A,334,13916,980.0,1102.5
A,335,13917,997.5,1102.5
A,336,13918,1015.0,1102.5
A,337,13919,1032.5,1102.5
A,338,13920,1050.0,1102.5
A,339,13921,1067.5,1102.5
A,340,13922,1085.0,1102.5
A,341,13923,1102.5,1102.5
A,342,13924,1120.0,1102.5
A,343,13925,1137.5,1102.5
A,344,13926,1155.0,1102.5
A,345,14124,770.0,1120.0
A,346,14125,787.5,1120.0
A,347,14126,805.0,1120.0
A,348,14127,822.5,1120.0
A,349,14128,840.0,1120.0
A,350,14129,857.5,1120.0
A,351,14130,875.0,1120.0
A,352,14131,892.5,1120.0
A,353,14132,910.0,1120.0
A,354,14133,927.5,1120.0
A,355,14134,945.0,1120.0
A,356,14135,962.5,1120.0
A,357,14136,980.0,1120.0
A,358,14137,997.5,1120.0
A,359,14138,1015.0,1120.0
A,360,14139,1032.5,1120.0
A,361,14140,1050.0,1120.0
A,362,14141,1067.5,1120.0
A,363,14142,1085.0,1120.0
A,364,14143,1102.5,1120.0
A,365,14144,1120.0,1120.0
A,366,14145,1137.5,1120.0
A,367,14146,1155.0,1120.0
A,368,14344,770.0,1137.5
A,369,14345,787.5,1137.5
A,370,14346,805.0,1137.5
A,371,14347,822.5,1137.5
A,372,14348,840.0,1137.5
A,373,14349,857.5,1137.5
A,374,14350,875.0,1137.5
A,375,14351,892.5,1137.5
A,376,14352,910.0,1137.5
A,377,14353,927.5,1137.5
A,378,14354,945.0,1137.5
A,379,14355,962.5,1137.5
A,380,14356,980.0,1137.5
A,381,14357,997.5,1137.5
A,382,14358,1015.0,1137.5
A,383,14359,1032.5,1137.5
A,384,14360,1050.0,1137.5
A,385,14361,1067.5,1137.5
A,386,14362,1085.0,1137.5
A,387,14363,1102.5,1137.5
A,388,14364,1120.0,1137.5
A,389,14365,1137.5,1137.5
A,390,14366,1155.0,1137.5
A,391,14564,770.0,1155.0
A,392,14565,787.5,1155.0
A,393,14566,805.0,1155.0
A,394,14567,822.5,1155.0
A,395,14568,840.0,1155.0
A,396,14569,857.5,1155.0
A,397,14570,875.0,1155.0
A,398,14571,892.5,1155.0
A,399,14572,910.0,1155.0
A,400,14573,927.5,1155.0
A,401,14574,945.0,1155.0
A,402,14575,962.5,1155.0
A,403,14576,980.0,1155.0
A,404,14577,997.5,1155.0
A,405,14578,1015.0,1155.0
A,406,14579,1032.5,1155.0
A,407,14580,1050.0,1155.0
A,408,14581,1067.5,1155.0
A,409,14582,1085.0,1155.0
A,410,14583,1102.5,1155.0
A,411,14584,1120.0,1155.0
A,412,14585,1137.5,1155.0
A,413,14586,1155.0,1155.0
A,414,14784,770.0,1172.5
A,415,14785,787.5,1172.5
A,416,14786,805.0,1172.5
A,417,14787,822.5,1172.5
A,418,14788,840.0,1172.5
A,419,14789,857.5,1172.5
A,420,14790,875.0,1172.5
A,421,14791,892.5,1172.5
A,422,14792,910.0,1172.5
A,423,14793,927.5,1172.5
A,424,14794,945.0,1172.5
A,425,14795,962.5,1172.5
A,426,14796,980.0,1172.5
A,427,14797,997.5,1172.5
A,428,14798,1015.0,1172.5
A,429,14799,1032.5,1172.5
A,430,14800,1050.0,1172.5
A,431,14801,1067.5,1172.5
A,432,14802,1085.0,1172.5
A,433,14803,1102.5,1172.5
A,434,14804,1120.0,1172.5
A,435,14805,1137.5,1172.5
A,436,14806,1155.0,1172.5
A,437,15004,770.0,1190.0
A,438,15005,787.5,1190.0
A,439,15006,805.0,1190.0
A,440,15007,822.5,1190.0
A,441,15008,840.0,1190.0
A,442,15009,857.5,1190.0
A,443,15010,875.0,1190.0
A,444,15011,892.5,1190.0
A,445,15012,910.0,1190.0
A,446,15013,927.5,1190.0
A,447,15014,945.0,1190.0
A,448,15015,962.5,1190.0
A,449,15016,980.0,1190.0
A,450,15017,997.5,1190.0
A,451,15018,1015.0,1190.0
A,452,15019,1032.5,1190.0
A,453,15020,1050.0,1190.0
A,454,15021,1067.5,1190.0
A,455,15022,1085.0,1190.0
A,456,15023,1102.5,1190.0
A,457,15024,1120.0,1190.0
A,458,15025,1137.5,1190.0
A,459,15026,1155.0,1190.0
A,460,15224,770.0,1207.5
A,461,15225,787.5,1207.5
A,462,15226,805.0,1207.5
A,463,15227,822.5,1207.5
A,464,15228,840.0,1207.5
A,465,15229,857.5,1207.5
A,466,15230,875.0,1207.5
A,467,15231,892.5,1207.5
A,468,15232,910.0,1207.5
A,469,15233,927.5,1207.5
A,470,15234,945.0,1207.5
A,471,15235,962.5,1207.5
A,472,15236,980.0,1207.5
A,473,15237,997.5,1207.5
A,474,15238,1015.0,1207.5
A,475,15239,1032.5,1207.5
A,476,15240,1050.0,1207.5
A,477,15241,1067.5,1207.5
A,478,15242,1085.0,1207.5
A,479,15243,1102.5,1207.5
A,480,15244,1120.0,1207.5
A,481,15245,1137.5,1207.5
A,482,15246,1155.0,1207.5
A,483,15444,770.0,1225.0
A,484,15445,787.5,1225.0
A,485,15446,805.0,1225.0
A,486,15447,822.5,1225.0
A,487,15448,840.0,1225.0
A,488,15449,857.5,1225.0
A,489,15450,875.0,1225.0
A,490,15451,892.5,1225.0
A,491,15452,910.0,1225.0
A,492,15453,927.5,1225.0
A,493,15454,945.0,1225.0
A,494,15455,962.5,1225.0
A,495,15456,980.0,1225.0
A,496,15457,997.5,1225.0
A,497,15458,1015.0,1225.0
A,498,15459,1032.5,1225.0
A,499,15460,1050.0,1225.0
A,500,15461,1067.5,1225.0
A,501,15462,1085.0,1225.0
A,502,15463,1102.5,1225.0
A,503,15464,1120.0,1225.0
A,504,15465,1137.5,1225.0
A,505,15466,1155.0,1225.0
A,506,15664,770.0,1242.5
A,507,15665,787.5,1242.5
A,508,15666,805.0,1242.5
A,509,15667,822.5,1242.5
A,510,15668,840.0,1242.5
A,511,15669,857.5,1242.5
A,512,15670,875.0,1242.5
A,513,15671,892.5,1242.5
A,514,15672,910.0,1242.5
A,515,15673,927.5,1242.5
A,516,15674,945.0,1242.5
A,517,15675,962.5,1242.5
A,518,15676,980.0,1242.5
A,519,15677,997.5,1242.5
A,520,15678,1015.0,1242.5
A,521,15679,1032.5,1242.5
A,522,15680,1050.0,1242.5
A,523,15681,1067.5,1242.5
A,524,15682,1085.0,1242.5
A,525,15683,1102.5,1242.5
A,526,15684,1120.0,1242.5
A,527,15685,1137.5,1242.5
A,528,15686,1155.0,1242.5
A,529,15884,770.0,1260.0
A,530,15885,787.5,1260.0
A,531,15886,805.0,1260.0
A,532,15887,822.5,1260.0
A,533,15888,840.0,1260.0
A,534,15889,857.5,1260.0
A,535,15890,875.0,1260.0
A,536,15891,892.5,1260.0
A,537,15892,910.0,1260.0
A,538,15893,927.5,1260.0
A,539,15894,945.0,1260.0
A,540,15895,962.5,1260.0
A,541,15896,980.0,1260.0
A,542,15897,997.5,1260.0
A,543,15898,1015.0,1260.0
A,544,15899,1032.5,1260.0
A,545,15900,1050.0,1260.0
A,546,15901,1067.5,1260.0
A,547,15902,1085.0,1260.0
A,548,15903,1102.5,1260.0
A,549,15904,1120.0,1260.0
A,550,15905,1137.5,1260.0
A,551,15906,1155.0,1260.0
b,552,10851,1242.5,857.5
b,553,10852,1260.0,857.5
b,554,10853,1277.5,857.5
b,555,10854,1295.0,857.5
b,556,10855,1312.5,857.5
b,557,10856,1330.0,857.5
b,558,10857,1347.5,857.5
b,559,10858,1365.0,857.5
b,560,10859,1382.5,857.5
b,561,10860,1400.0,857.5
b,562,10861,1417.5,857.5
b,563,10862,1435.0,857.5
b,564,10863,1452.5,857.5
b,565,10864,1470.0,857.5
b,566,10865,1487.5,857.5
b,567,10866,1505.0,857.5
b,568,10867,1522.5,857.5
b,569,10868,1540.0,857.5
b,570,10869,1557.5,857.5
b,571,10870,1575.0,857.5
b,572,10871,1592.5,857.5
b,573,10872,1610.0,857.5
b,574,10873,1627.5,857.5
b,575,10874,1645.0,857.5
b,576,10875,1662.5,857.5
b,577,11071,1242.5,875.0
b,578,11072,1260.0,875.0
b,579,11073,1277.5,875.0
b,580,11074,1295.0,875.0
b,581,11075,1312.5,875.0
b,582,11076,1330.0,875.0
b,583,11077,1347.5,875.0
b,584,11078,1365.0,875.0
b,585,11079,1382.5,875.0
b,586,11080,1400.0,875.0
b,587,11081,1417.5,875.0
b,588,11082,1435.0,875.0
b,589,11083,1452.5,875.0
b,590,11084,1470.0,875.0
b,591,11085,1487.5,875.0
b,592,11086,1505.0,875.0
b,593,11087,1522.5,875.0
b,594,11088,1540.0,875.0
b,595,11089,1557.5,875.0
b,596,11090,1575.0,875.0
b,597,11091,1592.5,875.0
b,598,11092,1610.0,875.0
b,599,11093,1627.5,875.0
b,600,11094,1645.0,875.0
b,601,11095,1662.5,875.0
b,602,11291,1242.5,892.5
b,603,11292,1260.0,892.5
b,604,11293,1277.5,892.5
b,605,11294,1295.0,892.5
b,606,11295,1312.5,892.5
b,607,11296,1330.0,892.5
b,608,11297,1347.5,892.5
b,609,11298,1365.0,892.5
b,610,11299,1382.5,892.5
b,611,11300,1400.0,892.5
b,612,11301,1417.5,892.5
b,613,11302,1435.0,892.5
b,614,11303,1452.5,892.5
b,615,11304,1470.0,892.5
b,616,11305,1487.5,892.5
b,617,11306,1505.0,892.5
b,618,11307,1522.5,892.5
b,619,11308,1540.0,892.5
b,620,11309,1557.5,892.5
b,621,11310,1575.0,892.5
b,622,11311,1592.5,892.5
b,623,11312,1610.0,892.5
b,624,11313,1627.5,892.5
b,625,11314,1645.0,892.5
b,626,11315,1662.5,892.5
b,627,11511,1242.5,910.0
b,628,11512,1260.0,910.0
b,629,11513,1277.5,910.0
b,630,11514,1295.0,910.0
b,631,11515,1312.5,910.0
b,632,11516,1330.0,910.0
b,633,11517,1347.5,910.0
b,634,11518,1365.0,910.0
b,635,11519,1382.5,910.0
b,636,11520,1400.0,910.0
b,637,11521,1417.5,910.0
b,638,11522,1435.0,910.0
b,639,11523,1452.5,910.0
b,640,11524,1470.0,910.0
b,641,11525,1487.5,910.0
b,642,11526,1505.0,910.0
b,643,11527,1522.5,910.0
b,644,11528,1540.0,910.0
b,645,11529,1557.5,910.0
b,646,11530,1575.0,910.0
b,647,11531,1592.5,910.0
b,648,11532,1610.0,910.0
b,649,11533,1627.5,910.0
b,650,11534,1645.0,910.0
b,651,11535,1662.5,910.0
b,652,11731,1242.5,927.5
b,653,11732,1260.0,927.5
b,654,11733,1277.5,927.5
b,655,11734,1295.0,927.5
b,656,11735,1312.5,927.5
b,657,11736,1330.0,927.5
b,658,11737,1347.5,927.5
b,659,11738,1365.0,927.5
b,660,11739,1382.5,927.5
b,661,11740,1400.0,927.5
b,662,11741,1417.5,927.5
b,663,11742,1435.0,927.5
b,664,11743,1452.5,927.5
b,665,11744,1470.0,927.5
b,666,11745,1487.5,927.5
b,667,11746,1505.0,927.5
b,668,11747,1522.5,927.5
b,669,11748,1540.0,927.5
b,670,11749,1557.5,927.5
b,671,11750,1575.0,927.5
b,672,11751,1592.5,927.5
b,673,11752,1610.0,927.5
b,674,11753,1627.5,927.5
b,675,11754,1645.0,927.5
b,676,11755,1662.5,927.5
b,677,11951,1242.5,945.0
b,678,11952,1260.0,945.0
b,679,11953,1277.5,945.0
b,680,11954,1295.0,945.0
b,681,11955,1312.5,945.0
b,682,11956,1330.0,945.0
b,683,11957,1347.5,945.0
b,684,11958,1365.0,945.0
b,685,11959,1382.5,945.0
b,686,11960,1400.0,945.0
b,687,11961,1417.5,945.0
b,688,11962,1435.0,945.0
b,689,11963,1452.5,945.0
b,690,11964,1470.0,945.0
b,691,11965,1487.5,945.0
b,692,11966,1505.0,945.0
b,693,11967,1522.5,945.0
b,694,11968,1540.0,945.0
b,695,11969,1557.5,945.0
b,696,11970,1575.0,945.0
b,697,11971,1592.5,945.0
b,698,11972,1610.0,945.0
b,699,11973,1627.5,945.0
b,700,11974,1645.0,945.0
b,701,11975,1662.5,945.0
b,702,12171,1242.5,962.5
b,703,12172,1260.0,962.5
b,704,12173,1277.5,962.5
b,705,12174,1295.0,962.5
b,706,12175,1312.5,962.5
b,707,12176,1330.0,962.5
b,708,12177,1347.5,962.5
b,709,12178,1365.0,962.5
b,710,12179,1382.5,962.5
b,711,12180,1400.0,962.5
b,712,12181,1417.5,962.5
b,713,12182,1435.0,962.5
b,714,12183,1452.5,962.5
b,715,12184,1470.0,962.5
b,716,12185,1487.5,962.5
b,717,12186,1505.0,962.5
b,718,12187,1522.5,962.5
b,719,12188,1540.0,962.5
b,720,12189,1557.5,962.5
b,721,12190,1575.0,962.5
b,722,12191,1592.5,962.5
b,723,12192,1610.0,962.5
b,724,12193,1627.5,962.5
b,725,12194,1645.0,962.5
b,726,12195,1662.5,962.5
b,727,12391,1242.5,980.0
b,728,12392,1260.0,980.0
b,729,12393,1277.5,980.0
b,730,12394,1295.0,980.0
b,731,12395,1312.5,980.0
b,732,12396,1330.0,980.0
b,733,12397,1347.5,980.0
b,734,12398,1365.0,980.0
b,735,12399,1382.5,980.0
b,736,12400,1400.0,980.0
b,737,12401,1417.5,980.0
b,738,12402,1435.0,980.0
b,739,12403,1452.5,980.0
b,740,12404,1470.0,980.0
b,741,12405,1487.5,980.0
b,742,12406,1505.0,980.0
b,743,12407,1522.5,980.0
b,744,12408,1540.0,980.0
b,745,12409,1557.5,980.0
b,746,12410,1575.0,980.0
b,747,12411,1592.5,980.0
b,748,12412,1610.0,980.0
b,749,12413,1627.5,980.0
b,750,12414,1645.0,980.0
b,751,12415,1662.5,980.0
b,752,12611,1242.5,997.5
b,753,12612,1260.0,997.5
b,754,12613,1277.5,997.5
b,755,12614,1295.0,997.5
b,756,12615,1312.5,997.5
b,757,12616,1330.0,997.5
b,758,12617,1347.5,997.5
b,759,12618,1365.0,997.5
b,760,12619,1382.5,997.5
b,761,12620,1400.0,997.5
b,762,12621,1417.5,997.5
b,763,12622,1435.0,997.5
b,764,12623,1452.5,997.5
b,765,12624,1470.0,997.5
b,766,12625,1487.5,997.5
b,767,12626,1505.0,997.5
b,768,12627,1522.5,997.5
b,769,12628,1540.0,997.5
b,770,12629,1557.5,997.5
b,771,12630,1575.0,997.5
b,772,12631,1592.5,997.5
b,773,12632,1610.0,997.5
b,774,12633,1627.5,997.5
b,775,12634,1645.0,997.5
b,776,12635,1662.5,997.5
b,777,12831,1242.5,1015.0
b,778,12832,1260.0,1015.0
b,779,12833,1277.5,1015.0
b,780,12834,1295.0,1015.0
b,781,12835,1312.5,1015.0
b,782,12836,1330.0,1015.0
b,783,12837,1347.5,1015.0
b,784,12838,1365.0,1015.0
b,785,12839,1382.5,1015.0
b,786,12840,1400.0,1015.0
b,787,12841,1417.5,1015.0
b,788,12842,1435.0,1015.0
b,789,12843,1452.5,1015.0
b,790,12844,1470.0,1015.0
b,791,12845,1487.5,1015.0
b,792,12846,1505.0,1015.0
b,793,12847,1522.5,1015.0
b,794,12848,1540.0,1015.0
b,795,12849,1557.5,1015.0
b,796,12850,1575.0,1015.0
b,797,12851,1592.5,1015.0
b,798,12852,1610.0,1015.0
b,799,12853,1627.5,1015.0
b,800,12854,1645.0,1015.0
b,801,12855,1662.5,1015.0
b,802,13051,1242.5,1032.5
b,803,13052,1260.0,1032.5
b,804,13053,1277.5,1032.5
b,805,13054,1295.0,1032.5
b,806,13055,1312.5,1032.5
b,807,13056,1330.0,1032.5
b,808,13057,1347.5,1032.5
b,809,13058,1365.0,1032.5
b,810,13059,1382.5,1032.5
b,811,13060,1400.0,1032.5
b,812,13061,1417.5,1032.5
b,813,13062,1435.0,1032.5
b,814,13063,1452.5,1032.5
b,815,13064,1470.0,1032.5
b,816,13065,1487.5,1032.5
b,817,13066,1505.0,1032.5
b,818,13067,1522.5,1032.5
b,819,13068,1540.0,1032.5
b,820,13069,1557.5,1032.5
b,821,13070,1575.0,1032.5
b,822,13071,1592.5,1032.5
b,823,13072,1610.0,1032.5
b,824,13073,1627.5,1032.5
b,825,13074,1645.0,1032.5
b,826,13075,1662.5,1032.5
b,827,13271,1242.5,1050.0
b,828,13272,1260.0,1050.0
b,829,13273,1277.5,1050.0
b,830,13274,1295.0,1050.0
b,831,13275,1312.5,1050.0
b,832,13276,1330.0,1050.0
b,833,13277,1347.5,1050.0
b,834,13278,1365.0,1050.0
b,835,13279,1382.5,1050.0
b,836,13280,1400.0,1050.0
b,837,13281,1417.5,1050.0
b,838,13282,1435.0,1050.0
b,839,13283,1452.5,1050.0
b,840,13284,1470.0,1050.0
b,841,13285,1487.5,1050.0
b,842,13286,1505.0,1050.0
b,843,13287,1522.5,1050.0
b,844,13288,1540.0,1050.0
b,845,13289,1557.5,1050.0
b,846,13290,1575.0,1050.0
b,847,13291,1592.5,1050.0
b,848,13292,1610.0,1050.0
b,849,13293,1627.5,1050.0
b,850,13294,1645.0,1050.0
b,851,13295,1662.5,1050.0
b,852,13491,1242.5,1067.5
b,853,13492,1260.0,1067.5
b,854,13493,1277.5,1067.5
b,855,13494,1295.0,1067.5
b,856,13495,1312.5,1067.5
b,857,13496,1330.0,1067.5
b,858,13497,1347.5,1067.5
b,859,13498,1365.0,1067.5
b,860,13499,1382.5,1067.5
b,861,13500,1400.0,1067.5
b,862,13501,1417.5,1067.5
b,863,13502,1435.0,1067.5
b,864,13503,1452.5,1067.5
b,865,13504,1470.0,1067.5
